Interest / Discount on Advances / Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Income,Payments to and Provisions for Employees,Operating Expenses (excludes Employee Cost & Depreciation),Total Provisions and Contingencies,Total Expenditure,Net Profit / Loss for The Year,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),a) % of Share by Govt.,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Cash EPS (Rs.),Book Value [Incl. Reval Reserve]/Share (Rs.),Operating Revenue / Share (Rs.),Net Profit/Share (Rs.),Interest Income/ Employee (Rs.),Net Profit/ Employee (Rs.),Business/ Employee (Rs.),Interest Income/ Branch (Rs.),Net Profit/ Branches (Rs.),Business/ Branches (Rs.),ROCE (%),CASA (%),Net Profit Margin (%),Operating Profit Margin (%),Return on Assets (%),Net Interest Margin (X),Cost to Income (%),Interest Income/Total Assets (%),Non-Interest Income/Total Assets (%),Operating Profit/Total Assets (%),Operating Expenses/Total Assets (%),Interest Expenses/Total Assets (%),EV Per Net Sales (X),Price To Book Value (X),Price To Sales (X),Retention Ratios (%),rank
4.52303990793608,1.16270787764459,0.110595373021713,0.323878503482901,7.43231403459911,0.685379826371719,1.1258765283646,1.12738932041371,5.77855244067776,0.0165376088535364,0.119645617798552,12.0819275172934,75.43210619752,7.59806786057774,4.88789771604112,4.25996714201498,7.63138329690799,21.982675321226,60.8674141290696,0.664198611981055,4.59436149880039,19.16,18.35,0.81,0.19,3.6,0.76,1.84,35.27,245.35,124.28,33.58,8160551.87,2205083.96,181738412.4,159421456.63,43077686.78,3550372927.65,2.92,48.69,27.02,5.58,1.65,3.36,40.65,6.12,1.31,0.34,1.89,2.75,18.75,3.03,5.88,94.06,1
4.6559889810469,1.34422469988362,0.132628954556051,0.297275101633354,7.97173235028185,0.657636954181028,1.00755288781829,1.64205976713817,6.65571642651754,0.0131601511104207,0.11875714321892,11.9883998854777,75.7881495800323,7.44705187771833,4.7763986567717,3.74105717023056,7.07857174274663,22.8607825988497,59.6317947276888,0.721500667553791,5.96629228020829,19.12,18.06,1.06,0.34,4.96,1.14,1.42,24.96,213.25,114.38,23.41,8011976.81,1639765.48,168734303.89,150243583.36,30749495.06,3164168725.6,3.1,46.28,20.46,-3.5,1.31,3.16,42.57,6.43,1.54,-0.22,1.75,3.26,17.44,2.78,5.08,100.0,1
5.23970648558906,1.33591365312346,0.062105939905322,0.172242354921767,8.30752323123144,0.753050112706143,1.12846169600337,1.83640750072961,7.58546736483764,0.0072205586639379,0.104888761264867,10.6070745234406,70.1924118768699,14.8308383600845,4.36967523960497,3.21240709430739,7.6360561876895,22.7184447722144,58.7500404578569,0.7657098370246,6.91734165090726,16.11,14.72,1.39,0.31,5.53,1.41,0.81,13.72,179.96,115.54,12.25,7531118.58,798519.16,142596981.88,140492705.86,14896341.85,2660140804.47,2.67,45.11,10.6,-11.38,0.72,3.02,45.79,6.8,1.49,-0.77,1.96,3.78,14.82,1.85,2.81,100.0,1
4.97093319089772,1.32684520645587,0.0763215321250257,0.199655941882038,8.07845101578434,0.705912738761408,1.08909848592343,2.08143600483235,7.72972603349763,0.0034872394543615,0.111019642459714,11.2361461861811,67.6980118857289,17.1412101798194,3.92463071141997,3.92530984853013,4.40021435848268,21.5387743482967,60.8264829049525,0.822370755671715,8.48684674721578,16.89,15.09,1.8,0.25,6.7,2.06,0.39,6.42,168.08,98.34,5.22,7307399.77,387642.38,142868072.08,130080411.57,6900495.69,2543221694.3,2.52,49.61,5.3,-17.58,0.34,2.8,48.98,6.57,1.5,-1.15,1.87,3.77,16.36,2.44,4.06,71.3,1
4.64817036643172,1.31577714174729,0.0754536145554842,0.212484421441229,8.23321343042947,0.672659567367732,1.02472259780819,2.04325881360958,7.46234177864522,0.0077087165178424,0.118140173611786,11.9609004278442,63.8059743593745,20.7985526118179,3.43457373837503,3.76510329130992,5.80842011291404,23.0887946798616,58.2804376250499,0.898954441158032,8.15828984970652,18.42,15.92,2.5,0.17,8.84,4.77,0.87,11.76,163.57,85.5,10.54,6644491.59,819281.33,129753214.8,112935878.78,13925257.65,2205404754.67,2.91,51.68,12.33,-19.36,0.77,2.61,46.51,6.25,1.98,-1.21,1.78,3.63,16.19,1.75,3.26,78.49,1
5.13135899600857,1.47411195083853,0.0641960985704104,0.347289413480805,9.54412749713669,0.742909240572696,1.07071670721411,2.16193895384563,8.27421319580568,0.0126991430133101,0.127987567107669,12.9505282806644,63.4937145261197,19.1186556938406,4.43710020368845,4.10763944068051,5.70240315567114,20.9261906179448,60.1499381730648,1.01131076277147,8.10251914555415,17.39,14.36,3.03,0.19,7.89,4.89,1.1,18.12,171.57,92.96,16.82,6537376.34,1183120.75,115193098.71,111662431.55,20208434.23,1967569379.38,3.59,50.36,18.09,-17.91,1.26,2.81,42.68,7.01,2.52,-1.25,1.91,4.2,14.17,1.67,2.98,99.99,0
5.40355415209567,1.47431972272324,0.021956580528992,0.418025597787469,9.44400621011577,0.418025597787469,1.2449592067436,1.96161317039619,8.09443549706388,0.0134957071305188,0.122889305061183,12.4512543515281,58.4748959719582,24.255386223661,4.818464840402,3.7611036900348,4.54597929138134,22.2579284915355,60.395018642419,1.05133502364592,7.98863486098351,16.64,13.09,3.55,0.14,5.21,2.67,1.49,17.92,154.3,90.68,16.72,7307161.04,1347597.82,118696176.03,118515583.82,21856825.39,1925145282.02,3.47,45.82,18.44,-10.61,1.34,2.94,39.4,7.31,2.12,-0.77,1.75,4.37,13.4,1.58,2.61,70.1,1
5.51454338186712,1.84863465948123,0.030195195144303,0.204353837604235,9.48219976221787,0.735128413695655,0.942073064045742,1.32242263773555,7.75261557946088,0.0172958418275698,0.122672445324372,12.4478740160503,55.9582633995744,26.6846516120636,4.90921251998961,3.97024409774087,2.57714829798228,28.8765782464373,59.9759329901296,0.731358270416746,3.86873809729319,17.02,12.78,4.24,0.06,3.78,1.61,1.86,20.41,138.71,84.66,19.27,7401381.02,1684887.74,112938140.26,121212691.11,27593468.89,1849592105.93,3.2,45.46,22.76,-2.03,1.72,2.94,32.7,7.59,1.88,-0.15,1.77,4.65,14.08,2.27,3.72,74.06,1
5.28518876866969,1.94353378382992,0.0336303424997626,0.167023301666863,9.18301407715216,0.709689692402607,0.927077786925025,1.1408721199752,7.53320176500271,0.0164981399383473,0.121168301079787,12.3121780350442,55.8174320739562,26.0256018423737,5.84478973031116,3.66974505886386,3.31422669770251,29.7694991325699,56.95912653804,0.786715923901588,5.50069001229278,17.7,12.78,4.92,0.03,3.03,0.97,1.78,89.92,633.86,382.48,84.94,6116655.05,1358302.69,92849708.72,117714236.08,26140359.71,1786880645.35,2.96,42.89,22.2,-1.39,1.64,2.77,31.3,7.42,1.75,-0.1,1.73,4.65,13.78,1.96,3.26,72.92,1
5.0934018198541,2.05092755390199,0.101152269243801,0.220240632787195,9.02045079880449,0.725284758783377,0.862422854116214,0.907937463165618,7.46949094204883,0.0155095985675565,0.122109704962054,12.4267177908693,54.5112760804559,27.0758067125404,5.9861994161343,3.54935149506325,4.16635835511634,31.9290794759739,54.070848839262,0.865705300954175,5.41865839654,18.74,12.8,5.94,0.01,3.22,0.77,1.7,76.42,578.22,347.39,72.17,6457036.48,1341411.86,93911715.27,129276119.03,26856363.55,1880203421.94,2.61,41.89,20.77,-0.05,1.55,2.58,28.67,7.46,1.55,0.0,1.67,4.88,13.46,1.81,3.01,72.28,1
